Calendar_Year,Month,Policing_District,Incident_Count
2009,Jul,Lisburn & Castlereagh City,392
2009,Jul,Ards & North Down,516
2009,Jul,Newry Mourne & Down,586
2009,Jul,Armagh City Banbridge & Craigavon,656
2009,Jul,Mid Ulster,433
2009,Jul,Fermanagh & Omagh,334
2009,Jul,Derry City & Strabane,713
2009,Jul,Causeway Coast & Glens,668
2009,Jul,Mid & East Antrim,534
2009,Jul,Antrim & Newtownabbey,663
2009,Jul,No Policing District Assigned,0
2009,Aug,Northern Ireland,7540
2009,Aug,Belfast City,2203
2009,Aug,Lisburn & Castlereagh City,426
2009,Aug,Ards & North Down,508
2009,Aug,Newry Mourne & Down,585
2009,Aug,Armagh City Banbridge & Craigavon,618
2009,Aug,Mid Ulster,371
2009,Aug,Fermanagh & Omagh,324
2009,Aug,Derry City & Strabane,671
2009,Aug,Causeway Coast & Glens,685
2009,Aug,Mid & East Antrim,533
2009,Aug,Antrim & Newtownabbey,616
2009,Aug,No Policing District Assigned,0
2009,Sep,Northern Ireland,6939
2009,Sep,Belfast City,2046
2009,Sep,Lisburn & Castlereagh City,364
2009,Sep,Ards & North Down,441
2009,Sep,Newry Mourne & Down,470
2009,Sep,Armagh City Banbridge & Craigavon,561
2009,Sep,Mid Ulster,358
2009,Sep,Fermanagh & Omagh,297
2009,Sep,Derry City & Strabane,607
2009,Sep,Causeway Coast & Glens,575
2009,Sep,Mid & East Antrim,573
2009,Sep,Antrim & Newtownabbey,647
2009,Sep,No Policing District Assigned,0
2009,Oct,Northern Ireland,8008
2009,Oct,Belfast City,2120
2009,Oct,Lisburn & Castlereagh City,435
2009,Oct,Ards & North Down,554
2009,Oct,Newry Mourne & Down,551
2009,Oct,Armagh City Banbridge & Craigavon,692
2009,Oct,Mid Ulster,521
2009,Oct,Fermanagh & Omagh,457
2009,Oct,Derry City & Strabane,674
2009,Oct,Causeway Coast & Glens,721
2009,Oct,Mid & East Antrim,584
2009,Oct,Antrim & Newtownabbey,699
2009,Oct,No Policing District Assigned,0
2009,Nov,Northern Ireland,5043
2009,Nov,Belfast City,1486
2009,Nov,Lisburn & Castlereagh City,303
2009,Nov,Ards & North Down,336
2009,Nov,Newry Mourne & Down,363
2009,Nov,Armagh City Banbridge & Craigavon,418
2009,Nov,Mid Ulster,283
2009,Nov,Fermanagh & Omagh,229
2009,Nov,Derry City & Strabane,461
2009,Nov,Causeway Coast & Glens,407
2009,Nov,Mid & East Antrim,378
2009,Nov,Antrim & Newtownabbey,379
2009,Nov,No Policing District Assigned,0
2009,Dec,Northern Ireland,5663
2009,Dec,Belfast City,1611
2009,Dec,Lisburn & Castlereagh City,318
2009,Dec,Ards & North Down,357
2009,Dec,Newry Mourne & Down,384
2009,Dec,Armagh City Banbridge & Craigavon,422
2009,Dec,Mid Ulster,362
2009,Dec,Fermanagh & Omagh,280
2009,Dec,Derry City & Strabane,534
2009,Dec,Causeway Coast & Glens,455
2009,Dec,Mid & East Antrim,484
2009,Dec,Antrim & Newtownabbey,456
2009,Dec,No Policing District Assigned,0
2010,Jan,Northern Ireland,5239
2010,Jan,Belfast City,1507
2010,Jan,Lisburn & Castlereagh City,299
2010,Jan,Ards & North Down,320
2010,Jan,Newry Mourne & Down,372
2010,Jan,Armagh City Banbridge & Craigavon,423
2010,Jan,Mid Ulster,341
2010,Jan,Fermanagh & Omagh,214
2010,Jan,Derry City & Strabane,507
2010,Jan,Causeway Coast & Glens,406
2010,Jan,Mid & East Antrim,436
2010,Jan,Antrim & Newtownabbey,414
2010,Jan,No Policing District Assigned,0
2010,Feb,Northern Ireland,4818
2010,Feb,Belfast City,1432
2010,Feb,Lisburn & Castlereagh City,273
2010,Feb,Ards & North Down,349
2010,Feb,Newry Mourne & Down,354
2010,Feb,Armagh City Banbridge & Craigavon,360
2010,Feb,Mid Ulster,311
2010,Feb,Fermanagh & Omagh,223
2010,Feb,Derry City & Strabane,399
2010,Feb,Causeway Coast & Glens,333
2010,Feb,Mid & East Antrim,356
2010,Feb,Antrim & Newtownabbey,428
2010,Feb,No Policing District Assigned,0
2010,Mar,Northern Ireland,6061
2010,Mar,Belfast City,1933
2010,Mar,Lisburn & Castlereagh City,394
2010,Mar,Ards & North Down,418
2010,Mar,Newry Mourne & Down,420
2010,Mar,Armagh City Banbridge & Craigavon,484
2010,Mar,Mid Ulster,338
2010,Mar,Fermanagh & Omagh,252
2010,Mar,Derry City & Strabane,502
2010,Mar,Causeway Coast & Glens,390
2010,Mar,Mid & East Antrim,476
2010,Mar,Antrim & Newtownabbey,454
2010,Mar,No Policing District Assigned,0
2010,Apr,Northern Ireland,6988
2010,Apr,Belfast City,2205
2010,Apr,Lisburn & Castlereagh City,407
2010,Apr,Ards & North Down,497
2010,Apr,Newry Mourne & Down,473
2010,Apr,Armagh City Banbridge & Craigavon,518
2010,Apr,Mid Ulster,369
2010,Apr,Fermanagh & Omagh,322
2010,Apr,Derry City & Strabane,681
2010,Apr,Causeway Coast & Glens,466
2010,Apr,Mid & East Antrim,521
2010,Apr,Antrim & Newtownabbey,529
2010,Apr,No Policing District Assigned,0
2010,May,Northern Ireland,7352
2010,May,Belfast City,2261
2010,May,Lisburn & Castlereagh City,423
2010,May,Ards & North Down,506
2010,May,Newry Mourne & Down,527
2010,May,Armagh City Banbridge & Craigavon,557
2010,May,Mid Ulster,376
2010,May,Fermanagh & Omagh,341
2010,May,Derry City & Strabane,737
2010,May,Causeway Coast & Glens,540
2010,May,Mid & East Antrim,519
2010,May,Antrim & Newtownabbey,565
2010,May,No Policing District Assigned,0
2010,Jun,Northern Ireland,7143
2010,Jun,Belfast City,2254
2010,Jun,Lisburn & Castlereagh City,402
2010,Jun,Ards & North Down,520
2010,Jun,Newry Mourne & Down,480
2010,Jun,Armagh City Banbridge & Craigavon,579
2010,Jun,Mid Ulster,373
2010,Jun,Fermanagh & Omagh,307
2010,Jun,Derry City & Strabane,659
2010,Jun,Causeway Coast & Glens,505
2010,Jun,Mid & East Antrim,468
2010,Jun,Antrim & Newtownabbey,596
2010,Jun,No Policing District Assigned,0
2010,Jul,Northern Ireland,7106
2010,Jul,Belfast City,2053
2010,Jul,Lisburn & Castlereagh City,405
2010,Jul,Ards & North Down,525
2010,Jul,Newry Mourne & Down,546
2010,Jul,Armagh City Banbridge & Craigavon,608
2010,Jul,Mid Ulster,375
2010,Jul,Fermanagh & Omagh,296
2010,Jul,Derry City & Strabane,681
2010,Jul,Causeway Coast & Glens,557
2010,Jul,Mid & East Antrim,497
2010,Jul,Antrim & Newtownabbey,563
2010,Jul,No Policing District Assigned,0
2010,Aug,Northern Ireland,7071
2010,Aug,Belfast City,2058
2010,Aug,Lisburn & Castlereagh City,416
2010,Aug,Ards & North Down,479
2010,Aug,Newry Mourne & Down,511
2010,Aug,Armagh City Banbridge & Craigavon,591
2010,Aug,Mid Ulster,402
2010,Aug,Fermanagh & Omagh,302
2010,Aug,Derry City & Strabane,681
2010,Aug,Causeway Coast & Glens,599
2010,Aug,Mid & East Antrim,492
2010,Aug,Antrim & Newtownabbey,540
2010,Aug,No Policing District Assigned,0
2010,Sep,Northern Ireland,6468
2010,Sep,Belfast City,1915
2010,Sep,Lisburn & Castlereagh City,396
2010,Sep,Ards & North Down,492
2010,Sep,Newry Mourne & Down,412
2010,Sep,Armagh City Banbridge & Craigavon,521
2010,Sep,Mid Ulster,341
2010,Sep,Fermanagh & Omagh,254
2010,Sep,Derry City & Strabane,590
2010,Sep,Causeway Coast & Glens,548
2010,Sep,Mid & East Antrim,429
2010,Sep,Antrim & Newtownabbey,570
2010,Sep,No Policing District Assigned,0
2010,Oct,Northern Ireland,7731
2010,Oct,Belfast City,2069
2010,Oct,Lisburn & Castlereagh City,418
2010,Oct,Ards & North Down,506
2010,Oct,Newry Mourne & Down,594
2010,Oct,Armagh City Banbridge & Craigavon,730
2010,Oct,Mid Ulster,577
2010,Oct,Fermanagh & Omagh,399
2010,Oct,Derry City & Strabane,700
2010,Oct,Causeway Coast & Glens,561
2010,Oct,Mid & East Antrim,517
2010,Oct,Antrim & Newtownabbey,660
2010,Oct,No Policing District Assigned,0
2010,Nov,Northern Ireland,5588
2010,Nov,Belfast City,1594
2010,Nov,Lisburn & Castlereagh City,304
2010,Nov,Ards & North Down,323
2010,Nov,Newry Mourne & Down,447
2010,Nov,Armagh City Banbridge & Craigavon,454
2010,Nov,Mid Ulster,345
2010,Nov,Fermanagh & Omagh,266
2010,Nov,Derry City & Strabane,610
2010,Nov,Causeway Coast & Glens,402
2010,Nov,Mid & East Antrim,414
2010,Nov,Antrim & Newtownabbey,429
2010,Nov,No Policing District Assigned,0
2010,Dec,Northern Ireland,5961
2010,Dec,Belfast City,1690
2010,Dec,Lisburn & Castlereagh City,336
2010,Dec,Ards & North Down,381
2010,Dec,Newry Mourne & Down,449
2010,Dec,Armagh City Banbridge & Craigavon,506
2010,Dec,Mid Ulster,368
2010,Dec,Fermanagh & Omagh,252
2010,Dec,Derry City & Strabane,492
2010,Dec,Causeway Coast & Glens,525
2010,Dec,Mid & East Antrim,458
2010,Dec,Antrim & Newtownabbey,504
2010,Dec,No Policing District Assigned,0
2011,Jan,Northern Ireland,4777
2011,Jan,Belfast City,1351
2011,Jan,Lisburn & Castlereagh City,326
2011,Jan,Ards & North Down,354
2011,Jan,Newry Mourne & Down,332
2011,Jan,Armagh City Banbridge & Craigavon,380
2011,Jan,Mid Ulster,278
2011,Jan,Fermanagh & Omagh,196
2011,Jan,Derry City & Strabane,467
2011,Jan,Causeway Coast & Glens,415
2011,Jan,Mid & East Antrim,338
2011,Jan,Antrim & Newtownabbey,340
2011,Jan,No Policing District Assigned,0
2011,Feb,Northern Ireland,4827
2011,Feb,Belfast City,1458
2011,Feb,Lisburn & Castlereagh City,263
2011,Feb,Ards & North Down,298
2011,Feb,Newry Mourne & Down,370
2011,Feb,Armagh City Banbridge & Craigavon,381
2011,Feb,Mid Ulster,279
2011,Feb,Fermanagh & Omagh,201
2011,Feb,Derry City & Strabane,419
2011,Feb,Causeway Coast & Glens,389
2011,Feb,Mid & East Antrim,401
2011,Feb,Antrim & Newtownabbey,368
2011,Feb,No Policing District Assigned,0
2011,Mar,Northern Ireland,5935
2011,Mar,Belfast City,1880
2011,Mar,Lisburn & Castlereagh City,311
2011,Mar,Ards & North Down,381
2011,Mar,Newry Mourne & Down,371
2011,Mar,Armagh City Banbridge & Craigavon,493
2011,Mar,Mid Ulster,365
2011,Mar,Fermanagh & Omagh,279
2011,Mar,Derry City & Strabane,563
2011,Mar,Causeway Coast & Glens,435
2011,Mar,Mid & East Antrim,419
2011,Mar,Antrim & Newtownabbey,438
2011,Mar,No Policing District Assigned,0
2011,Apr,Northern Ireland,6169
2011,Apr,Belfast City,1878
2011,Apr,Lisburn & Castlereagh City,347
2011,Apr,Ards & North Down,530
2011,Apr,Newry Mourne & Down,415
2011,Apr,Armagh City Banbridge & Craigavon,517
2011,Apr,Mid Ulster,307
2011,Apr,Fermanagh & Omagh,256
2011,Apr,Derry City & Strabane,583
2011,Apr,Causeway Coast & Glens,459
2011,Apr,Mid & East Antrim,444
2011,Apr,Antrim & Newtownabbey,433
2011,Apr,No Policing District Assigned,0
2011,May,Northern Ireland,4803
2011,May,Belfast City,1511
2011,May,Lisburn & Castlereagh City,302
2011,May,Ards & North Down,348
2011,May,Newry Mourne & Down,312
2011,May,Armagh City Banbridge & Craigavon,385
2011,May,Mid Ulster,266
2011,May,Fermanagh & Omagh,242
2011,May,Derry City & Strabane,423
2011,May,Causeway Coast & Glens,376
2011,May,Mid & East Antrim,308
2011,May,Antrim & Newtownabbey,330
2011,May,No Policing District Assigned,0
2011,Jun,Northern Ireland,5386
2011,Jun,Belfast City,1618
2011,Jun,Lisburn & Castlereagh City,312
2011,Jun,Ards & North Down,449
2011,Jun,Newry Mourne & Down,335
2011,Jun,Armagh City Banbridge & Craigavon,441
2011,Jun,Mid Ulster,296
2011,Jun,Fermanagh & Omagh,239
2011,Jun,Derry City & Strabane,472
2011,Jun,Causeway Coast & Glens,408
2011,Jun,Mid & East Antrim,412
2011,Jun,Antrim & Newtownabbey,404
2011,Jun,No Policing District Assigned,0
2011,Jul,Northern Ireland,6809
2011,Jul,Belfast City,2045
2011,Jul,Lisburn & Castlereagh City,399
2011,Jul,Ards & North Down,540
2011,Jul,Newry Mourne & Down,448
2011,Jul,Armagh City Banbridge & Craigavon,570
2011,Jul,Mid Ulster,429
2011,Jul,Fermanagh & Omagh,309
2011,Jul,Derry City & Strabane,540
2011,Jul,Causeway Coast & Glens,563
2011,Jul,Mid & East Antrim,443
2011,Jul,Antrim & Newtownabbey,523
2011,Jul,No Policing District Assigned,0
2011,Aug,Northern Ireland,6161
2011,Aug,Belfast City,1763
2011,Aug,Lisburn & Castlereagh City,294
2011,Aug,Ards & North Down,487
2011,Aug,Newry Mourne & Down,472
2011,Aug,Armagh City Banbridge & Craigavon,462
2011,Aug,Mid Ulster,416
2011,Aug,Fermanagh & Omagh,314
2011,Aug,Derry City & Strabane,552
2011,Aug,Causeway Coast & Glens,494
2011,Aug,Mid & East Antrim,442
2011,Aug,Antrim & Newtownabbey,465
2011,Aug,No Policing District Assigned,0
2011,Sep,Northern Ireland,5430
2011,Sep,Belfast City,1707
2011,Sep,Lisburn & Castlereagh City,289
2011,Sep,Ards & North Down,414
2011,Sep,Newry Mourne & Down,323
2011,Sep,Armagh City Banbridge & Craigavon,421
2011,Sep,Mid Ulster,338
2011,Sep,Fermanagh & Omagh,246
2011,Sep,Derry City & Strabane,485
2011,Sep,Causeway Coast & Glens,412
2011,Sep,Mid & East Antrim,407
2011,Sep,Antrim & Newtownabbey,388
2011,Sep,No Policing District Assigned,0
2011,Oct,Northern Ireland,6024
2011,Oct,Belfast City,1514
2011,Oct,Lisburn & Castlereagh City,271
2011,Oct,Ards & North Down,469
2011,Oct,Newry Mourne & Down,444
2011,Oct,Armagh City Banbridge & Craigavon,558
2011,Oct,Mid Ulster,474
2011,Oct,Fermanagh & Omagh,354
2011,Oct,Derry City & Strabane,515
2011,Oct,Causeway Coast & Glens,494
2011,Oct,Mid & East Antrim,470
2011,Oct,Antrim & Newtownabbey,460
2011,Oct,No Policing District Assigned,1
2011,Nov,Northern Ireland,4557
2011,Nov,Belfast City,1251
2011,Nov,Lisburn & Castlereagh City,244
2011,Nov,Ards & North Down,371
2011,Nov,Newry Mourne & Down,296
2011,Nov,Armagh City Banbridge & Craigavon,383
2011,Nov,Mid Ulster,291
2011,Nov,Fermanagh & Omagh,259
2011,Nov,Derry City & Strabane,432
2011,Nov,Causeway Coast & Glens,370
2011,Nov,Mid & East Antrim,334
2011,Nov,Antrim & Newtownabbey,325
2011,Nov,No Policing District Assigned,1
2011,Dec,Northern Ireland,4164
2011,Dec,Belfast City,1142
2011,Dec,Lisburn & Castlereagh City,270
2011,Dec,Ards & North Down,333
2011,Dec,Newry Mourne & Down,281
2011,Dec,Armagh City Banbridge & Craigavon,344
2011,Dec,Mid Ulster,254
2011,Dec,Fermanagh & Omagh,200
2011,Dec,Derry City & Strabane,403
2011,Dec,Causeway Coast & Glens,325
2011,Dec,Mid & East Antrim,333
2011,Dec,Antrim & Newtownabbey,279
2011,Dec,No Policing District Assigned,0
2012,Jan,Northern Ireland,4107
2012,Jan,Belfast City,1161
2012,Jan,Lisburn & Castlereagh City,217
2012,Jan,Ards & North Down,353
2012,Jan,Newry Mourne & Down,302
2012,Jan,Armagh City Banbridge & Craigavon,369
2012,Jan,Mid Ulster,211
2012,Jan,Fermanagh & Omagh,208
2012,Jan,Derry City & Strabane,405
2012,Jan,Causeway Coast & Glens,324
2012,Jan,Mid & East Antrim,281
2012,Jan,Antrim & Newtownabbey,276
2012,Jan,No Policing District Assigned,0
2012,Feb,Northern Ireland,4627
2012,Feb,Belfast City,1323
2012,Feb,Lisburn & Castlereagh City,224
2012,Feb,Ards & North Down,362
2012,Feb,Newry Mourne & Down,344
2012,Feb,Armagh City Banbridge & Craigavon,418
2012,Feb,Mid Ulster,269
2012,Feb,Fermanagh & Omagh,241
2012,Feb,Derry City & Strabane,447
2012,Feb,Causeway Coast & Glens,412
2012,Feb,Mid & East Antrim,330
2012,Feb,Antrim & Newtownabbey,257
2012,Feb,No Policing District Assigned,0
2012,Mar,Northern Ireland,5947
2012,Mar,Belfast City,1797
2012,Mar,Lisburn & Castlereagh City,283
2012,Mar,Ards & North Down,479
2012,Mar,Newry Mourne & Down,406
2012,Mar,Armagh City Banbridge & Craigavon,449
2012,Mar,Mid Ulster,268
2012,Mar,Fermanagh & Omagh,278
2012,Mar,Derry City & Strabane,671
2012,Mar,Causeway Coast & Glens,537
2012,Mar,Mid & East Antrim,396
2012,Mar,Antrim & Newtownabbey,382
2012,Mar,No Policing District Assigned,1
2012,Apr,Northern Ireland,5186
2012,Apr,Belfast City,1463
2012,Apr,Lisburn & Castlereagh City,253
2012,Apr,Ards & North Down,440
2012,Apr,Newry Mourne & Down,374
2012,Apr,Armagh City Banbridge & Craigavon,442
2012,Apr,Mid Ulster,292
2012,Apr,Fermanagh & Omagh,252
2012,Apr,Derry City & Strabane,510
2012,Apr,Causeway Coast & Glens,482
2012,Apr,Mid & East Antrim,336
2012,Apr,Antrim & Newtownabbey,342
2012,Apr,No Policing District Assigned,0
2012,May,Northern Ireland,5825
2012,May,Belfast City,1729
2012,May,Lisburn & Castlereagh City,261
2012,May,Ards & North Down,429
2012,May,Newry Mourne & Down,421
2012,May,Armagh City Banbridge & Craigavon,561
2012,May,Mid Ulster,293
2012,May,Fermanagh & Omagh,293
2012,May,Derry City & Strabane,648
2012,May,Causeway Coast & Glens,496
2012,May,Mid & East Antrim,336
2012,May,Antrim & Newtownabbey,358
2012,May,No Policing District Assigned,0
2012,Jun,Northern Ireland,5500
2012,Jun,Belfast City,1627
2012,Jun,Lisburn & Castlereagh City,242
2012,Jun,Ards & North Down,418
2012,Jun,Newry Mourne & Down,368
2012,Jun,Armagh City Banbridge & Craigavon,553
2012,Jun,Mid Ulster,322
2012,Jun,Fermanagh & Omagh,280
2012,Jun,Derry City & Strabane,576
